"question","plscs_pre","plscs_post","hrt_pre","hrt_post","tb_pre","tb_post","fever_pre","fever_post","fgr_pre","fgr_post","ble_pre","ble_post"
"Q 1","91.4","95.7","84.6","85.3","96.2","98.8","92.9","97.2","70.5","74.4","78.3","92.4"
"Q 2","86.4","95.0","83.3","98.1","73.8","91.9","91.5","96.5","82.1","90.4","91.1","96.8"
"Q 3","90.0","94.3","76.9","83.3","85.6","96.9","95.0","97.2","96.2","98.1","66.9","81.5"
"Q 4","85.0","91.4","85.3","95.5","15.0","38.1","89.4","98.6","90.4","92.9","77.7","95.5"
"Q 5","75.7","95.0","57.7","87.2","72.5","95.6","48.2","68.8","96.2","98.7","41.4","70.1"
"Q 6","72.1","81.4","94.9","97.4","82.5","96.9","97.2","98.6","85.3","91.0","88.5","96.2"
"Q 7","86.4","97.1","33.3","79.5","53.8","72.5","92.9","97.9","81.4","92.3","86.6","93.0"
"Q 8","48.6","75.0","92.3","94.2","95.6","98.8","87.2","90.1","44.9","71.2","82.8","93.0"
"Q 9","95.7","97.9","79.5","94.9","85.0","89.4","80.9","93.6","80.8","94.9","82.2","91.1"
"Q 10","90.7","92.1","32.1","64.7","68.1","92.5","29.8","32.6","94.2","97.4","63.7","79.0"
