"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Alluri Sitaram Raju","ane",6.6,1.9,66.4,7.3,1.9,72.5,0.028113
"Alluri Sitaram Raju","aph",5.3,2,53,6.7,2.1,66.6,1.2e-05
"Alluri Sitaram Raju","epi",5.4,2.2,54,6.3,2.4,62.9,0.010284
"Alluri Sitaram Raju","gdm",5.4,1.8,54.1,6.5,2.2,64.6,0.000494
"Alluri Sitaram Raju","htn",5.7,2,57.4,6.2,1.9,62.4,0.08211
"Alluri Sitaram Raju","qanc",7.2,1.6,71.8,7.5,1.7,75.4,0.134998
"Anakapalli","ane",8.1,1.5,80.9,8.9,1.3,88.8,0.000536
"Anakapalli","aph",7,2.3,69.9,8.6,1.9,85.8,5e-06
"Anakapalli","epi",7.3,1.3,73.1,8.3,1.8,83.2,6.3e-05
"Anakapalli","gdm",7.2,1.9,71.5,8.8,1.7,88,0
"Anakapalli","htn",7.5,1.5,75.3,8.3,1.5,82.7,0.002233
"Anakapalli","qanc",8,1.6,79.6,8.1,1.3,81.5,0.428157
"Ananthapuram","ane",7.4,1.6,74.2,8.3,1.3,83.5,4.3e-05
"Ananthapuram","aph",5.6,1.9,56.2,7.4,1.8,73.6,0
"Ananthapuram","epi",6.4,1.7,63.7,7.7,1.6,77.3,0
"Ananthapuram","gdm",6.1,1.6,61.1,7.4,1.6,73.6,0
"Ananthapuram","htn",6.8,1.6,68.1,7.1,1.6,71.5,0.162756
"Ananthapuram","qanc",8.1,1.3,80.9,8.4,1.2,83.9,0.113277
"Annamayya","ane",7.3,1.5,73.5,8.2,1.3,81.9,0.000184
"Annamayya","aph",6.1,1.8,61,7.6,1.8,76.1,0
"Annamayya","epi",6.9,1.9,68.8,7.5,1.7,75,0.025228
"Annamayya","gdm",6.4,1.7,64.5,8,1.6,80.5,0
"Annamayya","htn",6.7,1.4,66.9,7.3,1.5,73.3,0.004573
"Annamayya","qanc",8,1.2,80,8.4,1.1,84.2,0.02436
"Bapatla","ane",7.3,1.4,73.3,8.5,1.3,85.1,1.4e-05
"Bapatla","aph",5.5,2.1,55.4,6.9,2,69.1,0.000571
"Bapatla","epi",6.5,1.7,65.3,7.6,1.8,76.1,0.001162
"Bapatla","gdm",6,1.5,59.6,7.2,2,71.9,0.000421
"Bapatla","htn",6.3,1.7,62.8,7,1.7,70,0.024904
"Bapatla","qanc",7.9,1.4,79.3,8.4,1.3,83.5,0.099208
"Chittoor","ane",7.8,1.4,77.7,8.5,1.2,84.9,0.001837
"Chittoor","aph",6.4,1.9,64.2,7.8,1.6,78.4,4e-06
"Chittoor","epi",7,1.5,69.6,7.9,1.2,79,7.5e-05
"Chittoor","gdm",6.9,2,69.3,8.1,1.6,80.6,0.000285
"Chittoor","htn",7,1.7,69.7,7.2,1.7,71.9,0.448875
"Chittoor","qanc",8,1.1,79.7,8.3,1,82.8,0.082169
"East Godavari","ane",7.2,1.5,71.6,8.7,1.1,86.9,3.4e-05
"East Godavari","aph",5.5,1.6,54.8,7.6,1.8,76.1,8e-06
"East Godavari","epi",6.5,1.5,64.8,8.2,1.1,82.3,2e-06
"East Godavari","gdm",6,1.7,60,8.5,1.6,85,0
"East Godavari","htn",6.8,1.5,67.5,7.8,1,77.8,0.001939
"East Godavari","qanc",7.8,1.5,78.4,8.9,1.1,88.8,0.002988
"Eluru","ane",7.2,1.7,71.7,7.9,1.5,78.9,0.00044
"Eluru","aph",5.8,1.8,57.8,7.2,2.1,71.8,0
"Eluru","epi",6.8,1.8,67.8,7.5,1.8,75.2,0.001179
"Eluru","gdm",6.3,1.9,62.6,7.7,1.8,77,0
"Eluru","htn",6.6,1.6,65.5,7.1,1.5,70.7,0.010281
"Eluru","qanc",8.1,1.3,81.1,8.3,1.4,83.3,0.204378
"Guntur","ane",7.5,2.4,75,5.8,3.4,57.5,0.435323
"Guntur","aph",8.7,1.2,86.7,3.3,1.2,33.3,0.004813
"Guntur","epi",6.6,2.9,66,5,3.7,50,0.466742
"Guntur","gdm",6.8,2.8,68,6,3.5,60,0.701604
"Guntur","htn",8.6,2.1,86,4.8,3.4,48,0.073711
"Guntur","qanc",8.4,1.3,83.8,8.1,1.9,81.2,0.547189
"Kadapa","ane",7,NA,70,8,NA,80,NA
"Kadapa","epi",8,NA,80,9,NA,90,NA
"Kadapa","gdm",5,NA,50,9,NA,90,NA
"Kadapa","htn",7,NA,70,9,NA,90,NA
"Kadapa","qanc",8.4,1.4,84.3,9.6,0.8,96,0
"Kakinada","ane",6.9,1.3,69.4,8.4,1.2,83.7,0
"Kakinada","aph",6.5,2.2,65.2,8.3,1.2,83.3,0.00229
"Kakinada","epi",7.4,2.4,73.7,9.1,0.7,90.5,0.008567
"Kakinada","gdm",7.6,1.2,75.7,8.9,1.3,89,0.001364
"Kakinada","htn",7.2,1.6,72,7.8,1.3,77.7,0.037574
"Kakinada","qanc",8.5,1.1,84.7,8.9,1.1,88.7,0.057448
"Konaseema","ane",7.5,1.6,75.1,8.2,1.6,81.8,0.015711
"Konaseema","aph",6.1,1.9,60.6,8,1.8,80.5,0
"Konaseema","epi",7,1.7,70.5,7.8,1.7,78,0.014299
"Konaseema","gdm",6.6,1.9,65.7,8.2,1.6,81.8,1e-06
"Konaseema","htn",6.7,1.8,67.2,8,2,79.7,0.000298
"Konaseema","qanc",8.3,1.4,83.1,8.9,1.2,89.4,0.008237
"Krishna","ane",7.6,1.7,76.5,8.6,1.4,86,9e-06
"Krishna","aph",5.2,1.5,51.9,7,2.2,69.6,0.001585
"Krishna","epi",7.3,1.7,72.7,8.3,1.5,82.7,3e-06
"Krishna","gdm",7.2,1.7,71.9,8.8,1.2,87.5,0
"Krishna","htn",6.9,1.6,69.1,7.4,1.6,74.3,0.012229
"Krishna","qanc",8,1.4,80.3,8.4,1.4,84.1,0.042454
"Kurnool","ane",7.5,1.5,74.8,8.7,1.3,87.3,2e-06
"Kurnool","aph",6.2,2.1,61.8,7.2,1.8,71.6,0.019943
"Kurnool","epi",7.4,1.7,74.3,7.9,1.5,79.1,0.11573
"Kurnool","gdm",7.2,1.7,72.2,8.5,1.4,85.2,3.8e-05
"Kurnool","htn",7.2,1.4,72.1,7.6,1.3,76.4,0.078555
"Kurnool","qanc",7.8,1.5,78.1,8.7,1.3,87.5,0.000259
"NTR","ane",7.4,1.4,73.6,8.5,1.1,84.5,0.000748
"NTR","aph",5,1.1,50,6.1,2,61.3,0.065767
"NTR","epi",7.3,1.6,72.8,7.4,1.8,73.8,0.819131
"NTR","gdm",6.3,1.2,63.3,7.2,1.1,72.4,0.001928
"NTR","htn",6.8,1.4,68.4,7.5,1.1,75.4,0.02011
"NTR","qanc",8.3,1.4,83,9.3,0.7,92.7,0.000487
"Nandyal","ane",7.1,1.3,71.1,8.1,1.1,80.9,3.2e-05
"Nandyal","aph",6.1,1.5,60.6,8.3,1.4,82.8,0
"Nandyal","epi",6.5,1.9,64.6,7.5,1.9,75.4,0.003283
"Nandyal","gdm",6.1,1.5,60.7,7.5,1.7,75.2,8e-06
"Nandyal","htn",7.1,1.5,71.3,7.7,1.2,76.7,0.042841
"Nandyal","qanc",8,1.2,80.2,8.3,0.9,83.1,0.148792
"Nellore","ane",7.7,1.2,77,8.6,1,86.4,2.8e-05
"Nellore","aph",6.7,1.7,66.9,8.8,1.4,88.5,0
"Nellore","epi",6.9,1.7,68.9,8.3,1.2,83,3e-06
"Nellore","gdm",6.1,1.9,61.3,8.6,1.9,86,0
"Nellore","htn",7.1,1.5,71.1,8.4,1.8,84,9.9e-05
"Nellore","qanc",8.6,1.1,85.7,9.5,0.7,95.3,0
"Palnadu","ane",7.2,1.7,71.8,8.7,1.4,87.2,0
"Palnadu","aph",5.3,1.8,53,8.3,1.7,82.7,0
"Palnadu","epi",6.1,1.9,61,8.1,1.7,80.6,0
"Palnadu","gdm",6.1,1.9,61.3,8.9,1.6,88.8,0
"Palnadu","htn",6.5,1.6,65.1,8.2,1.6,82.1,0
"Palnadu","qanc",7.6,1.6,75.8,9.4,1,94,0
"Parvatipuram Manyam","ane",7.2,1.6,72.4,8.4,1.9,84.2,8.3e-05
"Parvatipuram Manyam","aph",6.5,1.9,64.6,7.8,1.9,78.3,0.017352
"Parvatipuram Manyam","epi",7.8,1.8,77.8,8.2,1.8,82.2,0.176539
"Parvatipuram Manyam","gdm",7.6,2,76.3,8.9,1.7,88.6,0.000235
"Parvatipuram Manyam","htn",6.9,1.5,69.4,8.2,1.9,81.9,4.1e-05
"Parvatipuram Manyam","qanc",8.2,1.6,81.5,8.5,1.7,84.5,0.280788
"Prakasam","ane",7.2,1.5,72.5,8.3,1.1,83.3,0
"Prakasam","aph",5.9,1.8,59.5,6.9,1.7,69.3,3.9e-05
"Prakasam","epi",6.9,1.5,69,8.1,1.5,81.2,0
"Prakasam","gdm",6.1,1.5,60.8,7.9,1.4,79.5,0
"Prakasam","htn",7.1,1.4,70.9,7.4,1.4,73.8,0.118082
"Prakasam","qanc",8,1.2,80.1,8.6,1.1,86.2,0.000107
"Sri Sathya Sai","ane",7.4,1.4,73.9,8.3,1,82.9,3.7e-05
"Sri Sathya Sai","epi",6.7,1.9,66.8,8.4,1,83.7,0
"Sri Sathya Sai","gdm",6.9,1.8,68.8,9.3,1,93.2,0
"Sri Sathya Sai","htn",6.3,1.7,62.9,8.2,1.8,82.4,0
"Sri Sathya Sai","qanc",7.7,1.5,76.9,9,1.2,90.2,0
"Srikakulam","ane",7.3,1.4,72.5,8,1.3,80.4,3.8e-05
"Srikakulam","aph",7.5,2.1,75.4,8.1,2,80.7,0.157124
