"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Bapatla","ble",7.6,1.8,76.3,8.7,1.6,87.3,0.00074
"Bapatla","fever",8.2,1.4,82.4,8.7,1.3,87.2,0.061625
"Bapatla","fgr",8.1,1.7,80.9,8.7,1.7,87.4,0.036738
"Bapatla","hrt",7.3,1.7,73.3,9,1.3,89.7,0
"Bapatla","plscs",8.1,1.6,81.3,9,1.5,90.3,0.00125
"Bapatla","tb",7.3,1.6,73,8.5,1.3,85.4,5e-06
"Krishna","ble",7.7,2.3,76.6,8.7,1.7,87.2,0.049019
"Krishna","fever",8,1.2,80,8.5,1.4,85.4,0.305522
"Krishna","fgr",8.5,1.1,84.8,8.9,1,88.6,0.177755
"Krishna","hrt",7.7,1.4,77.1,8.4,1.2,84.3,0.03954
"Krishna","plscs",9.1,1,90.6,9.4,0.6,93.9,0.236366
"Krishna","tb",7.8,1.5,78.2,8.7,1.1,86.8,0.018997
"Palnadu","ble",7.5,2,75.4,9.1,0.9,90.9,0
"Palnadu","fever",7.9,1.4,79,8.7,1,87.3,7.7e-05
"Palnadu","fgr",8.2,1.7,82.2,9.3,1,93,9e-06
"Palnadu","hrt",6.9,1.5,68.7,8.8,1,88.1,0
"Palnadu","plscs",8.1,1.6,80.7,9.2,0.8,92,1e-05
"Palnadu","tb",7,1.6,70.4,8.9,0.9,88.8,0
"Overall Average","ble",7.6,2,75.9,8.9,1.4,88.9,NA
"Overall Average","fever",8,1.4,80.5,8.7,1.1,87.1,NA
"Overall Average","fgr",8.2,1.6,82.2,9,1.3,90.1,NA
"Overall Average","hrt",7.2,1.6,72,8.8,1.2,88,NA
"Overall Average","plscs",8.2,1.6,82.2,9.2,1.1,91.5,NA
"Overall Average","tb",7.3,1.6,72.8,8.7,1.1,87.1,NA
